EntryExit,Date
1,2017-11-15 05:41:24
1,2018-04-14 14:34:35
0,2018-01-31 09:42:08
0,2017-10-03 10:00:09
0,2017-12-15 03:03:59
0,2018-01-26 23:23:28
0,2017-08-01 22:34:20
0,2017-07-12 12:24:52
0,2017-08-09 14:50:23
0,2018-03-17 11:28:16
0,2018-03-21 10:45:08
1,2018-03-01 18:54:29
1,2017-11-11 05:11:58
1,2018-01-27 09:04:48
1,2017-08-10 01:34:53
0,2017-08-08 10:03:59
1,2017-11-01 10:58:58
0,2017-05-20 01:17:16
1,2017-10-11 04:56:49
1,2017-12-01 08:39:05
1,2017-11-16 14:21:15
0,2017-06-18 10:52:40
1,2018-04-02 20:17:14
0,2018-04-03 18:03:29
0,2017-08-05 10:55:43
0,2017-11-30 18:04:54
1,2017-10-25 22:16:03
1,2018-02-13 15:32:52
1,2018-02-21 05:43:03
1,2018-02-24 09:12:11
0,2017-07-06 09:14:54
1,2017-06-11 13:44:10
1,2017-06-26 02:45:42
1,2017-06-29 16:11:45
1,2017-05-14 21:16:46
1,2017-11-02 20:17:44
0,2017-10-15 17:28:07
1,2018-03-18 07:59:08
1,2017-11-06 03:00:07
0,2017-08-22 02:47:29
0,2017-12-13 13:26:01
0,2017-06-25 17:48:18
0,2017-09-16 12:25:07
0,2017-10-05 07:31:35
1,2018-02-21 06:52:39
1,2017-08-25 17:17:01
0,2017-05-28 03:46:00
0,2017-10-18 08:44:19
1,2018-01-28 12:44:12
1,2017-09-05 19:19:16
1,2017-09-23 11:10:14
1,2017-05-17 17:05:11
1,2018-01-25 18:30:12
0,2018-02-19 09:13:18
0,2017-05-05 15:17:25
1,2018-03-11 11:49:32
0,2017-07-15 10:08:34
0,2017-12-20 00:20:20
0,2017-10-19 21:41:44
0,2018-01-19 02:00:34
1,2018-04-16 16:27:00
1,2017-07-30 04:40:51
1,2018-04-21 00:00:22
0,2017-06-06 05:49:59
1,2017-05-24 11:55:28
0,2017-08-16 04:35:20
1,2017-09-10 10:15:33
1,2017-11-23 10:52:42
0,2018-03-24 05:52:33
1,2017-05-10 20:53:10
0,2017-08-03 13:16:06
0,2017-05-01 18:07:36
1,2017-11-16 01:29:49
0,2018-04-07 19:39:27
1,2017-05-11 02:02:18
1,2017-09-26 06:17:09
0,2017-11-11 14:54:46
0,2018-02-10 01:02:02
0,2018-04-21 12:35:47
1,2017-10-22 08:58:37
1,2017-12-27 03:50:11
0,2018-02-18 13:42:54
1,2017-09-28 07:22:05
0,2017-05-07 12:44:48
0,2017-11-07 04:36:36
0,2018-03-15 18:19:51
0,2017-08-16 15:11:23
1,2017-12-20 05:10:44
0,2017-10-22 16:39:29
1,2017-05-22 21:19:41
1,2018-01-30 12:11:00
1,2018-04-15 08:05:13
1,2018-04-22 10:54:40
0,2018-01-05 01:46:37
0,2017-11-04 09:37:28
1,2017-11-10 21:48:18
1,2017-07-31 02:57:50
1,2018-02-24 13:53:26
0,2017-05-28 15:10:15
0,2017-09-17 05:13:08
1,2017-11-27 07:56:58
1,2017-05-27 22:48:03
0,2017-08-09 03:01:12
1,2017-10-07 14:20:51
0,2017-04-26 19:40:05
1,2017-08-31 19:15:19
0,2017-08-07 21:14:08
1,2017-05-15 22:02:51
1,2017-12-09 16:30:38
1,2017-04-26 22:12:33
1,2018-01-31 03:13:15
0,2017-12-03 09:26:32
1,2017-06-09 00:32:29
0,2017-09-14 20:57:09
1,2017-08-31 16:46:55
1,2018-03-06 08:19:56
0,2018-04-18 10:01:57
0,2018-03-12 07:28:19
0,2017-07-25 19:15:44
0,2017-12-16 09:11:32
0,2017-08-14 15:23:01
1,2017-10-19 10:39:28
0,2017-07-09 18:30:54
0,2018-02-15 10:48:21
1,2017-07-12 14:25:42
0,2017-05-21 05:00:24
1,2017-10-16 00:37:08
1,2017-08-24 14:20:30
1,2017-10-23 08:47:35
1,2018-02-03 17:00:09
1,2017-12-11 16:12:30
1,2018-04-22 16:25:11
0,2018-01-10 18:40:10
1,2017-08-03 02:21:05
1,2018-01-06 08:00:42
0,2017-05-24 04:12:01
0,2018-04-20 18:42:38
1,2017-12-24 21:20:34
0,2018-03-14 07:14:13
1,2017-07-31 18:46:56
1,2018-02-17 09:44:36
0,2018-01-04 05:10:36
1,2018-03-20 22:12:24
0,2017-12-17 15:14:47
0,2017-09-20 12:39:11
0,2017-09-04 23:41:29
1,2017-10-27 20:55:49
0,2018-02-13 23:20:48
0,2017-12-02 09:55:54
1,2017-05-30 04:45:48
0,2017-06-20 09:22:40
1,2017-11-05 13:15:11
0,2017-12-22 02:36:35
0,2017-11-10 03:34:28
0,2017-11-26 04:12:05
0,2017-11-01 16:08:39
1,2017-12-23 05:33:27
1,2017-06-30 14:47:10
1,2018-01-16 14:19:51
0,2017-10-07 19:34:20
1,2017-07-18 16:47:57
0,2017-09-21 21:02:07
0,2017-06-09 06:37:39
0,2018-04-17 13:45:22
1,2017-11-20 20:47:35
1,2018-01-21 11:35:30
1,2017-05-22 09:27:45
0,2018-03-25 08:11:46
0,2017-12-24 17:58:35
1,2017-08-16 01:15:45
1,2017-07-25 11:52:12
0,2018-02-11 01:36:12
0,2017-12-03 19:07:26
0,2017-07-12 05:07:04
0,2017-07-26 01:40:49
1,2018-01-27 18:03:51
1,2017-08-07 13:25:13
0,2018-01-03 13:02:17
0,2017-06-13 15:18:56
0,2018-03-05 22:32:36
0,2017-12-25 19:45:47
0,2017-05-09 18:59:06
1,2018-01-16 07:01:35
1,2017-06-13 14:10:24
0,2017-11-12 13:29:45
0,2017-09-04 13:30:09
0,2018-02-09 17:09:54
1,2017-06-13 10:28:07
1,2017-11-27 02:53:19
0,2017-11-21 05:18:11
1,2018-04-16 22:20:00
0,2018-02-02 10:42:55
1,2018-02-15 10:04:14
1,2017-10-15 16:35:11
1,2017-06-04 04:18:37
1,2018-03-11 17:06:14
1,2017-09-22 21:39:30
1,2017-06-05 18:33:57
0,2017-07-01 06:02:26
1,2017-08-25 05:12:06
0,2017-11-14 23:21:53
1,2017-12-16 13:42:12
0,2017-05-26 22:10:46
1,2017-07-14 17:46:36
0,2018-02-22 21:01:30
0,2017-07-09 15:32:24
0,2018-02-15 05:03:59
0,2018-03-06 14:24:17
1,2017-10-13 20:18:33
0,2017-10-27 17:13:53
0,2018-03-30 05:48:47
1,2018-03-19 10:20:55
1,2017-05-01 09:33:59
1,2017-09-21 19:51:10
1,2017-04-28 18:06:10
0,2017-10-13 18:52:47
0,2017-09-16 20:54:58
0,2018-04-16 23:02:28
1,2017-11-27 21:18:34
1,2017-10-18 15:31:56
0,2018-03-13 22:14:32
0,2018-01-05 07:36:34
1,2017-06-19 02:44:37
1,2018-02-03 09:09:29
1,2017-10-07 22:08:37
1,2017-07-08 21:07:22
0,2017-10-18 23:23:11
1,2017-07-02 21:15:27
0,2017-06-12 10:47:01
1,2017-09-27 01:21:17
1,2018-01-12 02:41:47
1,2017-11-07 07:43:47
1,2017-05-19 16:34:43
1,2017-05-30 06:39:17
0,2017-10-03 04:22:32
0,2017-12-05 03:39:23
0,2017-12-18 03:12:03
1,2018-03-07 16:33:53
0,2017-08-01 08:14:37
1,2018-02-25 12:49:42
1,2017-05-10 04:26:11
0,2017-04-30 10:48:57
0,2017-11-06 22:12:26
1,2018-03-16 00:50:52
1,2018-04-25 22:27:42
0,2017-05-12 12:35:19
1,2017-10-01 01:57:43
1,2017-11-28 04:50:20
1,2017-11-26 07:55:54
0,2017-10-27 21:58:30
1,2017-10-05 03:28:57
1,2018-04-14 04:19:16
1,2018-01-12 09:40:01
1,2017-06-10 00:54:01
0,2018-04-15 09:34:00
0,2018-03-08 13:16:37
1,2018-01-31 20:26:13
0,2017-07-06 01:05:21
1,2017-08-19 08:43:56
1,2017-05-12 12:10:48
1,2018-04-25 23:16:29
1,2017-10-09 02:43:41
0,2018-04-15 00:42:58
1,2018-02-06 07:07:55
0,2017-06-30 19:42:30
1,2017-12-18 12:55:26
1,2017-10-01 05:22:23
1,2017-05-18 03:22:58
0,2017-08-03 23:37:22
0,2017-09-05 02:38:50
0,2017-05-23 19:38:11
0,2017-06-19 14:44:17
0,2018-04-08 09:25:58
0,2018-02-06 03:21:45
0,2017-09-16 14:00:55
1,2017-09-30 14:24:21
1,2017-09-06 23:49:51
1,2018-02-16 20:27:38
0,2017-09-03 04:31:16
0,2018-02-04 06:00:51
0,2017-12-26 01:08:55
0,2017-10-01 15:51:42
0,2017-08-16 13:04:03
0,2017-08-24 02:45:37
1,2017-09-29 18:31:10
0,2017-10-17 00:23:24
1,2018-01-04 05:32:09
0,2017-06-30 05:47:41
1,2018-02-20 07:16:26
0,2018-03-01 04:28:57
1,2017-05-23 18:43:12
0,2018-01-05 09:26:53
0,2017-05-18 13:18:27
0,2017-07-18 16:12:45
0,2018-02-19 23:47:56
0,2017-06-30 15:53:04
0,2017-11-13 13:11:06
1,2017-05-04 07:08:22
1,2017-10-06 11:01:39
1,2017-08-26 09:54:37
1,2018-03-13 09:26:53
1,2018-01-14 04:20:08
1,2017-08-16 15:11:03
1,2017-10-08 21:58:41
1,2018-04-19 06:18:44
1,2018-04-19 14:56:07
0,2018-01-03 22:11:29
1,2018-01-12 09:28:38
0,2017-09-23 19:14:32
0,2018-04-13 12:51:41
0,2017-08-03 20:32:21
0,2017-11-10 18:48:12
0,2017-11-11 03:52:52
0,2017-09-26 11:59:04
0,2018-01-05 00:21:55
0,2018-02-09 02:36:27
0,2017-05-13 14:01:42
0,2017-09-04 04:55:03
0,2017-08-18 03:15:13
0,2017-07-14 05:38:16
0,2017-12-20 20:35:41
0,2017-11-17 09:39:41
1,2017-05-20 12:22:08
1,2017-05-21 18:48:56
1,2017-05-09 23:09:51
1,2017-11-14 03:51:27
1,2017-12-08 16:10:57
0,2018-02-19 15:43:18
1,2017-06-20 13:33:11
1,2018-02-23 01:02:30
0,2017-06-23 12:31:14
0,2017-07-15 07:43:04
1,2017-11-03 20:52:04
1,2018-03-11 12:38:04
1,2017-09-12 18:39:43
0,2018-02-02 05:04:40
1,2017-12-08 18:50:11
1,2017-08-25 15:30:56
0,2017-10-20 00:21:51
1,2017-10-07 11:48:50
1,2017-08-06 07:10:48
0,2018-03-29 02:07:06
0,2018-02-06 20:40:16
0,2018-03-28 11:52:58
1,2018-01-04 05:27:58
1,2017-04-30 19:01:46
1,2017-08-11 13:43:08
1,2017-05-14 12:02:13
1,2017-07-11 07:39:57
0,2018-04-24 08:08:25
0,2018-03-09 09:30:04
0,2017-08-06 18:13:43
1,2018-03-03 09:14:44
1,2018-02-08 15:45:38
1,2017-08-30 20:58:30
0,2017-12-13 19:52:01
0,2017-06-30 10:58:07
1,2017-12-02 23:52:54
0,2017-12-12 07:19:25
0,2017-07-15 23:34:08
1,2017-07-02 12:07:26
0,2017-09-04 03:10:28
1,2017-05-16 01:58:14
0,2018-04-01 03:48:10
0,2018-02-10 18:33:37
1,2017-05-30 22:45:58
0,2017-11-11 22:55:18
0,2017-05-31 23:01:25
1,2017-10-04 05:34:04
0,2018-02-19 00:16:22
1,2017-10-09 11:07:09
1,2017-05-23 10:36:49
0,2018-03-12 00:17:24
1,2017-07-15 10:23:23
1,2017-06-19 15:22:46
0,2018-01-13 20:12:49
1,2017-04-29 17:25:49
0,2017-10-01 21:13:24
0,2017-06-13 00:44:41
1,2017-10-13 01:49:31
1,2018-03-28 17:47:40
0,2017-09-03 02:47:24
0,2018-02-14 07:03:09
1,2018-01-15 11:44:31
1,2017-05-18 04:21:52
1,2017-09-20 22:11:01
0,2017-09-16 07:46:01
0,2017-11-03 19:30:46
1,2018-02-28 05:12:55
0,2018-01-16 05:40:05
0,2017-07-11 04:35:57
1,2017-07-31 09:52:49
1,2017-05-19 04:17:34
0,2018-03-25 10:11:05
0,2017-10-18 00:23:15
0,2018-01-30 20:33:47
0,2018-02-16 19:07:46
1,2017-12-16 00:43:45
0,2017-09-23 17:02:54
1,2017-10-13 11:09:26
0,2017-11-02 17:58:05
0,2017-06-03 20:59:51
1,2017-09-02 08:09:25
0,2017-07-22 00:18:26
0,2017-11-17 17:56:17
0,2017-07-18 19:35:13
1,2018-01-31 21:37:37
1,2017-06-12 06:26:23
1,2018-01-01 01:16:45
1,2017-10-27 01:00:04
1,2018-02-24 10:16:52
1,2018-01-23 13:12:36
1,2017-11-09 17:20:21
1,2017-05-19 13:51:01
0,2017-05-17 20:33:44
1,2018-03-29 17:12:40
0,2017-05-31 12:18:38
1,2017-06-26 13:55:06
0,2017-11-13 13:02:48
1,2018-03-01 12:37:58
1,2018-01-16 03:22:46
1,2017-12-31 19:25:41
0,2017-09-08 22:28:19
0,2017-06-11 10:52:03
0,2017-10-17 15:22:02
0,2017-09-02 12:50:54
0,2018-02-16 05:43:12
1,2018-03-18 23:24:54
0,2017-05-04 20:35:34
1,2018-02-11 20:14:49
1,2017-07-30 22:00:06
0,2017-09-24 23:51:57
0,2017-08-06 13:00:40
1,2017-06-09 09:30:48
0,2017-05-02 12:19:04
1,2017-06-05 20:33:07
0,2017-09-17 15:32:49
0,2017-05-04 20:06:30
0,2017-05-21 22:16:38
1,2017-10-19 17:44:03
0,2017-10-14 04:07:34
0,2017-06-28 16:25:14
1,2017-07-06 03:14:03
0,2018-02-15 22:50:48
0,2017-10-31 04:03:35
1,2018-01-14 23:55:53
0,2018-04-15 02:23:09
1,2017-08-26 06:45:35
0,2017-12-21 04:33:03
1,2017-07-09 03:09:47
0,2018-02-22 16:58:38
1,2018-03-11 10:11:24
0,2017-06-25 18:34:30
0,2018-01-20 08:56:11
1,2018-03-17 07:26:18
0,2017-05-17 12:27:56
0,2018-02-13 19:25:01
1,2017-12-08 03:07:11
0,2017-07-25 08:59:00
1,2017-10-08 23:19:19
0,2017-11-20 10:40:39
0,2017-09-04 17:44:58
0,2017-12-03 23:13:43
1,2017-08-31 09:12:44
1,2018-04-19 15:03:55
0,2018-04-23 15:44:20
0,2018-03-24 23:12:36
0,2017-10-05 16:05:18
0,2017-05-29 05:36:22
0,2018-02-19 15:38:39
0,2017-10-13 00:03:26
1,2017-05-07 19:02:19
0,2017-05-25 04:01:50
1,2018-01-14 13:19:59
0,2017-11-25 07:38:02
0,2017-10-30 09:06:48
0,2018-04-25 23:28:26
0,2018-01-26 18:39:14
1,2017-05-17 15:06:46
0,2017-07-04 01:03:12
0,2018-01-09 04:23:22
1,2017-12-19 11:06:16
0,2017-07-06 06:41:26
0,2017-08-16 04:06:26
0,2017-05-20 14:04:37
0,2017-07-05 11:10:32
1,2018-02-16 08:42:18
0,2018-02-06 08:02:21
0,2017-08-19 06:38:16
1,2017-05-09 08:25:22
1,2017-07-03 01:38:58
1,2018-03-18 21:50:19
0,2017-10-21 15:43:31
0,2017-12-20 11:43:31
0,2018-02-16 12:56:29
1,2017-12-04 05:26:08
0,2018-04-18 23:44:45
1,2018-02-17 05:28:18
0,2018-03-10 06:47:04
0,2017-10-03 18:48:57
1,2017-05-06 09:45:40
1,2017-07-30 14:30:09
0,2018-03-01 11:37:03
1,2018-04-01 19:17:50
0,2017-11-23 18:13:10
0,2018-01-19 11:37:05
0,2018-01-23 09:21:59
1,2018-02-05 03:37:57
0,2018-03-17 21:52:39
0,2017-11-05 23:31:47
1,2017-08-04 15:12:43
0,2017-12-25 08:54:27
0,2018-01-10 08:39:47
1,2017-12-08 13:30:15
1,2018-04-15 17:04:27
1,2017-07-08 13:34:09
1,2017-05-06 23:11:00
1,2017-07-17 18:30:27
1,2017-08-23 10:03:29
1,2017-09-08 06:03:13
1,2018-02-03 22:07:33
1,2017-12-07 08:31:27
1,2018-01-16 21:49:00
0,2018-02-06 07:21:19
0,2018-02-15 17:09:03
1,2018-03-10 15:58:22
0,2017-09-05 13:02:36
1,2017-10-22 00:59:57
0,2018-01-29 19:58:01
1,2018-03-28 18:48:41
1,2017-11-07 06:47:48
0,2017-11-14 06:42:20
1,2017-08-15 23:50:57
0,2017-09-07 02:19:42
1,2017-11-03 02:42:46
1,2018-02-19 17:43:05
0,2017-11-20 10:25:54
0,2017-06-01 17:51:20
1,2017-10-17 18:02:42
1,2017-07-26 05:51:51
0,2018-01-06 06:28:14
1,2018-03-23 02:13:32
0,2017-06-20 06:54:02
1,2017-06-16 08:25:40
0,2017-09-05 13:17:25
0,2017-10-24 14:50:44
0,2018-04-11 03:12:19
0,2017-10-19 18:30:44
0,2018-02-22 20:52:15
1,2017-12-30 07:03:54
1,2017-08-05 01:45:09
1,2018-03-14 21:27:27
1,2017-08-10 23:28:48
0,2018-01-12 10:31:08
0,2018-01-24 21:51:52
1,2018-04-01 02:27:57
0,2018-04-05 12:58:58
1,2018-01-25 04:25:04
1,2018-04-06 03:33:42
1,2018-03-19 05:03:42
0,2017-10-15 22:06:48
1,2017-12-13 20:30:29
0,2017-12-17 12:36:14
0,2017-12-10 07:43:02
0,2017-07-25 09:14:20
1,2017-07-13 19:33:07
1,2017-10-13 14:51:25
1,2017-10-21 09:52:14
0,2017-11-13 08:01:33
0,2017-08-19 00:18:27
0,2017-07-09 00:47:10
1,2018-03-29 11:59:35
1,2018-03-08 20:30:58
1,2018-03-10 08:02:14
0,2017-08-07 16:15:43
0,2017-05-24 20:31:14
1,2017-12-01 14:40:50
1,2017-07-02 14:40:04
1,2017-06-17 05:03:52
1,2018-04-21 03:09:47
0,2018-01-11 21:55:11
0,2017-07-21 03:02:08
0,2017-11-24 03:20:51
1,2017-12-22 22:42:52
0,2017-08-01 15:33:50
0,2017-06-15 02:43:55
0,2017-05-21 19:22:49
0,2017-10-24 13:53:12
1,2017-05-11 13:24:27
0,2017-06-11 04:27:50
0,2017-12-12 08:16:25
0,2017-06-16 15:16:24
0,2017-10-13 10:10:10
0,2017-05-12 00:15:16
0,2018-04-23 20:13:39
0,2017-12-23 21:56:26
1,2018-03-25 06:17:05
1,2018-04-23 09:06:08
1,2018-02-18 06:05:20
1,2017-06-22 16:46:49
1,2017-11-13 10:56:16
0,2018-02-12 10:16:36
1,2017-10-28 10:43:43
0,2017-07-14 11:14:12
1,2017-06-28 11:13:02
0,2017-05-27 03:30:11
0,2018-01-15 14:49:12
0,2018-03-26 22:39:38
1,2017-06-03 04:21:56
0,2017-09-18 21:57:38
0,2017-10-16 20:25:27
0,2018-03-02 13:12:57
1,2018-04-10 06:26:29
1,2018-04-20 10:18:44
1,2017-09-27 18:54:02
0,2017-10-21 05:50:50
0,2017-07-02 10:11:04
0,2017-06-11 11:19:37
0,2017-07-14 10:30:40
1,2018-04-22 21:54:41
0,2017-07-11 12:35:35
1,2017-10-21 20:35:13
0,2017-11-05 16:09:58
0,2017-08-23 04:28:59
1,2017-11-14 13:28:05
1,2017-12-01 19:33:43
1,2017-12-23 14:56:41
0,2017-12-02 16:47:32
1,2017-08-25 07:18:47
1,2018-03-27 04:10:59
0,2017-10-14 09:38:11
1,2017-05-24 21:42:20
0,2018-02-14 17:10:22
1,2017-08-15 15:59:13
1,2018-03-10 05:02:26
0,2017-06-25 08:17:52
1,2017-12-02 13:11:40
1,2017-12-21 07:48:22
0,2018-01-28 00:53:39
0,2017-05-13 13:40:01
0,2017-08-15 16:06:31
0,2017-08-07 19:27:49
1,2017-11-20 05:42:18
0,2018-04-01 16:50:18
1,2017-11-15 12:41:12
1,2017-08-18 15:18:21
1,2017-09-01 06:31:36
0,2017-06-17 23:55:27
0,2017-12-04 10:54:28
1,2017-07-04 09:01:06
0,2018-01-27 11:55:05
0,2017-06-03 23:27:33
1,2018-02-14 07:10:37
0,2017-11-14 03:48:44
1,2017-11-30 02:18:22
1,2017-04-30 06:42:21
0,2017-12-29 02:20:50
1,2017-04-30 14:19:16
0,2018-02-16 20:02:15
0,2017-08-27 06:12:19
1,2017-09-28 00:38:14
1,2017-05-22 18:12:00
1,2018-01-10 12:07:10
1,2018-03-17 02:26:41
0,2018-02-10 17:38:09
1,2017-10-05 00:42:58
0,2018-01-30 12:14:40
1,2017-09-21 13:38:49
1,2017-07-10 12:58:09
1,2017-04-29 17:01:36
0,2017-05-16 02:43:33
1,2017-05-26 22:42:28
1,2018-02-16 01:49:32
0,2017-12-27 01:26:31
1,2018-03-13 23:33:43
0,2017-10-26 00:58:22
1,2017-11-13 19:47:45
1,2017-08-16 08:46:04
0,2017-07-01 20:23:30
1,2017-12-03 22:12:12
1,2017-12-25 06:53:53
0,2017-12-24 22:48:49
1,2017-05-21 18:13:37
1,2017-06-24 19:58:58
0,2017-10-17 14:16:53
0,2018-04-01 23:13:15
0,2017-11-13 03:09:25
0,2018-04-25 04:25:08
0,2017-10-02 16:54:39
1,2017-11-24 08:40:47
0,2017-11-22 18:49:34
0,2017-10-26 02:13:50
1,2018-04-04 15:42:48
1,2017-08-06 13:19:47
0,2018-01-23 07:14:55
0,2017-11-02 03:26:36
0,2018-01-09 13:55:10
1,2017-08-04 02:12:02
1,2017-11-02 12:40:54
1,2017-09-25 01:16:47
0,2018-04-16 13:35:58
1,2018-04-18 06:48:02
0,2017-12-24 08:01:10
0,2017-09-29 18:33:51
0,2017-08-24 21:14:00
0,2017-09-15 10:53:34
0,2017-07-02 21:56:07
0,2017-12-20 16:06:28
0,2018-01-21 04:30:55
1,2017-10-13 06:36:15
1,2017-07-18 19:31:32
0,2018-04-19 08:21:30
1,2017-10-19 07:45:54
0,2017-12-20 23:30:19
1,2017-06-11 12:44:39
0,2017-06-03 11:37:18
0,2017-05-11 17:00:25
0,2018-02-03 02:01:58
0,2017-05-25 05:12:29
1,2017-08-13 07:52:51
1,2017-09-15 16:16:27
1,2018-03-09 22:13:17
1,2017-07-25 21:02:16
1,2017-07-11 07:23:06
1,2018-04-07 11:49:46
1,2017-07-07 04:01:56
1,2017-08-17 20:32:21
1,2017-09-17 06:19:37
1,2017-06-11 22:07:24
0,2017-10-06 19:43:42
0,2017-05-03 10:14:46
1,2017-09-01 05:12:57
0,2018-02-08 12:20:41
1,2017-10-09 14:30:53
0,2017-09-10 12:07:42
1,2017-07-10 21:49:48
1,2017-12-05 00:38:41
0,2017-09-09 19:08:00
0,2017-11-10 03:35:59
1,2018-01-30 01:06:40
1,2018-03-24 07:45:55
0,2018-01-27 11:35:07
1,2017-10-14 00:59:19
0,2018-01-31 17:55:57
1,2017-11-20 17:07:46
1,2018-02-04 17:05:39
0,2017-10-09 01:57:41
1,2017-10-13 10:23:42
1,2018-02-15 05:22:14
0,2018-03-15 16:57:20
0,2017-10-05 06:26:07
1,2018-02-06 11:44:15
0,2018-04-06 12:42:53
1,2017-12-29 03:23:41
0,2017-08-29 13:15:22
1,2018-03-08 12:53:54
1,2017-08-01 04:26:50
1,2018-01-09 17:39:43
0,2018-03-31 14:46:35
1,2017-09-02 20:48:02
0,2017-09-08 23:31:52
1,2018-03-10 19:13:36
0,2017-06-23 16:48:34
0,2017-09-13 19:38:01
1,2017-10-22 01:07:50
0,2018-01-02 02:33:02
1,2017-09-16 12:48:39
0,2017-10-28 04:02:13
0,2017-07-26 18:39:06
0,2017-08-09 15:36:09
0,2018-02-06 04:30:49
0,2017-11-26 21:14:24
0,2017-11-10 04:44:26
1,2017-09-07 17:13:09
0,2018-02-09 01:08:05
0,2017-10-04 18:09:03
1,2017-10-20 06:59:57
0,2017-09-23 23:57:50
1,2018-02-24 11:36:52
1,2017-09-15 21:30:19
0,2018-03-07 00:15:43
0,2018-02-20 23:23:26
0,2017-07-30 04:39:06
1,2017-05-02 20:37:56
1,2017-06-06 02:05:00
1,2017-09-24 06:03:57
1,2017-10-15 13:29:08
1,2017-09-05 00:12:25
1,2018-02-03 03:07:49
0,2017-12-13 15:20:36
0,2018-01-18 04:18:42
1,2017-04-26 11:23:56
0,2018-03-28 15:00:21
1,2018-02-19 04:40:46
1,2018-04-08 04:28:06
1,2017-12-15 17:03:41
0,2018-03-28 23:06:56
1,2017-06-22 01:24:06
0,2018-02-11 16:40:17
1,2017-10-18 09:34:33
0,2017-06-08 21:13:59
1,2018-03-17 06:29:14
1,2017-07-22 08:23:09
1,2017-05-04 15:35:08
0,2017-06-06 01:15:19
0,2018-04-25 20:19:21
0,2017-11-20 11:21:45
0,2018-04-10 04:28:30
1,2017-06-10 01:15:40
0,2018-03-12 09:15:43
0,2017-10-24 06:20:45
0,2017-06-27 18:04:03
1,2017-08-15 13:25:59
1,2017-05-10 07:15:49
0,2017-07-30 02:35:04
1,2017-09-04 10:01:11
1,2017-08-17 08:09:44
1,2017-12-08 00:55:21
0,2017-11-19 17:18:22
0,2018-02-14 23:50:04
1,2017-12-27 05:30:02
0,2017-07-16 15:52:54
0,2017-08-16 08:32:37
0,2018-03-28 00:05:10
0,2017-12-14 17:41:50
1,2018-01-16 07:58:11
1,2017-10-09 13:31:32
1,2018-04-14 05:40:56
1,2018-01-30 07:28:34
1,2018-01-16 07:04:59
1,2018-03-06 09:33:38
0,2018-03-24 00:45:50
1,2018-02-14 16:35:14
1,2017-07-07 21:52:01
0,2018-01-05 01:25:21
0,2017-09-30 21:37:15
0,2017-05-17 14:28:27
1,2017-10-02 16:56:19
1,2018-01-30 19:52:17
1,2017-11-11 05:43:14
1,2017-06-26 23:04:22
1,2017-09-16 02:02:29
0,2017-09-27 19:55:24
